id_m;opis_m;slup_lewy;slup_prawy;sciana_lewa;sciana_prawa;sciana_przod;klatka_m
195;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0
197;0;0;1;0;0;0;0
198;0;1;0;0;0;0;0
199;0;1;0;0;0;0;0
200;0;0;1;0;0;0;0
201;0;0;0;0;0;0;0
202;0;0;0;0;0;0;0
203;0;0;1;0;0;0;0
204;0;1;0;0;0;0;0
205;0;1;0;0;0;0;0
206;0;0;1;0;0;0;0
207;0;0;0;0;0;0;0
208;0;0;0;0;0;0;0
209;0;0;1;0;0;0;0
210;0;1;0;0;0;0;0
211;0;1;0;0;0;0;0
212;0;0;1;0;0;0;0
213;0;0;0;0;0;0;0
214;0;0;0;0;0;0;0
215;0;0;1;0;0;0;0
216;0;1;0;0;0;0;0
217;0;0;0;1;0;0;A
218;0;0;0;0;1;0;B
219;0;0;0;0;0;0;A
220;0;0;0;0;0;0;B
221;0;0;1;0;0;0;A
222;0;1;0;0;0;0;B
223;0;1;0;0;0;0;0
224;0;0;1;0;0;0;0
225;0;0;0;0;0;0;0
226;0;0;0;0;0;0;0
227;0;0;1;0;0;0;0
228;0;1;0;0;0;0;0
229;0;1;0;0;0;0;0
230;0;0;1;0;0;0;0
231;0;0;0;0;0;0;0
232;0;0;0;0;0;0;0
233;0;0;1;0;0;0;0
234;0;1;0;0;0;0;0
235;0;1;0;0;0;0;0
236;0;0;1;0;0;0;0
237;0;0;0;0;0;0;0
238;0;0;0;0;0;0;0
239;0;0;1;0;0;0;0
240;0;1;0;0;0;0;0
241;0;1;0;0;0;0;0
242;0;0;1;0;0;0;0
243;0;0;0;0;0;0;0
244;0;0;0;0;0;0;0
245;0;0;1;0;0;0;0
246;0;1;0;0;0;0;0
247;0;1;0;0;0;0;0
248;0;0;1;0;0;0;0
249;0;0;0;0;0;0;0
250;0;0;0;0;0;0;0
251;0;0;1;0;0;0;0
252;0;1;0;0;0;0;0
253;0;1;0;0;0;0;0
254;0;0;1;0;0;0;0
255;0;0;0;0;0;0;0
256;0;0;0;0;0;0;0
257;0;0;1;0;0;0;0
258;0;1;0;0;0;0;0
259;0;1;0;0;0;0;0
260;0;0;1;0;0;0;0
261;0;0;0;0;0;0;0
262;0;0;0;0;0;0;0
263;0;0;1;0;0;0;0
264;0;1;0;0;0;0;0
265;0;1;0;0;0;0;0
266;0;0;1;0;0;0;0
267;0;0;0;0;0;0;0
268;0;0;0;0;0;0;0
269;0;0;1;0;0;0;0
270;0;1;0;0;0;0;0
271;T1;1;0;0;0;0;0
272;T2;0;0;0;0;0;0
273;T3;0;1;0;0;0;0
274;T4;1;0;0;0;0;0
